,Site,Col_Company,Col_Recruit,Col_Detali,Col_Url
14,데이터분석,트리노드(주),[서울/경력 7년 이상] 데이터분석팀- 데이터 분석 리더 ,서울 강남구 경력7년↑ 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50570550&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
15,데이터분석,트리노드(주),[서울/경력 3년 이상] ID팀 - 데이터분석가 ,서울 강남구 경력3년↑ 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50755551&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
16,데이터분석,트리노드 주식회사,[부산/경력 3년 이상] ID팀 - 데이터분석가 ,부산 해운대구 경력3년↑ 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50755051&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
17,데이터분석,(주)전북은행,데이터분석가 경력직 모집 ,전북 전주시 덕진구 경력10년↑ 대졸↑ 계약직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50755238&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
18,데이터분석,트리노드(주),[서울/경력 5년 이상] 데이터분석팀- 데이터 엔지니어 ,서울 강남구 경력5년↑ 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50735444&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
19,데이터분석,한패스(주),[한패스(주)/데이터분석팀] Google Analytics 데이터분석가 ,서울 성동구 경력3년↑ 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50836756&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
20,데이터분석,(주)아이씨엔그룹,[미국현지채용] 슈피겐 미주지사 - 데이터분석 인턴 채용 ,미국 신입 대졸↑ 인턴직·해외취업 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50754160&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
21,데이터분석,주식회사오션가디언즈,[데이터분석] 사업계획서 관공서사업 보고서 담당자 채용 ,부산 서구 경력3년↑ 대졸↑ 정규직 300 만원 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50841021&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
22,데이터분석,(주)영산글로넷,"(급구)아프리카 모잠비크 프로젝트관리, 데이터분석가(주재원) ",아프리카 모잠비크 경력2년↑ 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50650566&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
23,데이터분석,㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집 ,"서울 강남구 경력무관 대졸↑ 정규직 3,500 만원 ",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50614180&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
24,데이터분석,팀스파르타(주),"[기업교육] 실시간 강의 (Python, 데이터분석, AI 활용) ",서울 강남구 경력 3~5년 학력무관 프리랜서 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50835570&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
25,데이터분석,(주)아이티공간,인공지능/데이터분석/AI ICT ,울산 남구 경력무관 대졸↑ 정규직·기간제 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50481709&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
